t,Z
0.05,7.730372606137565
0.05002,7.733695232108503
0.05004,7.736725377703478
0.05006,7.739458194726933
0.05008,7.741906568022424
0.0501,7.744065721056032
0.05012,7.745938074026742
0.05014,7.747518039214681
0.05016,7.7488245150600354
0.05018,7.749861873434072
0.0502,7.750640815035037
0.05022,7.75116866651364
0.05024,7.751445870674556
0.05026,7.751485250046176
0.05028,7.751300976000655
0.0503,7.750891201492862
0.05032,7.750270888583527
0.05034,7.7494535094164885
0.05036,7.748448654443008
0.05038,7.74726300366759
0.0504,7.745911224448202
0.05042,7.744404797706156
0.05044,7.742745725204128
0.05046,7.740950676395316
0.05048,7.739032460354767
0.0505,7.737001388320911
0.05052,7.734866329048153
0.05054,7.732642597189488
0.05056,7.730341126976824
0.05058,7.727966299274647
0.0506,7.725530395538059
0.05062,7.723050245472763
0.05064,7.720532673356953
0.05066,7.7179937553167575
0.05068,7.715450694974298
0.0507,7.712908289549379
0.05072,7.710367354440318
0.05074,7.707840509619911
0.05076,7.70533807342078
0.05078,7.702869820949734
0.0508,7.70043531678811
0.05082,7.6980429507707795
0.05084,7.695709090156995
0.05086,7.693424812335197
0.05088,7.69119062048658
0.0509,7.689008358358435
0.05092,7.68688630305141
0.05094,7.684828625606673
0.05096,7.682827996955271
0.05098,7.680886476773338
0.051,7.679010760094369
0.05102,7.677195892383173
0.05104,7.675440731376899
0.05106,7.673747894949688
0.05108,7.672126917836668
0.0511,7.6705793490754095
0.05112,7.66910100433646
0.05114,7.667695632883333
0.05116,7.666361763447254
0.05118,7.66509997822079
0.0512,7.6639060057204444
0.05122,7.662787391759822
0.05124,7.661735630010934
0.05126,7.660743115419802
0.05128,7.659814573628416
0.0513,7.658945435610409
0.05132,7.658124336896125
0.05134,7.657354022080291
0.05136,7.65662358769891
0.05138,7.655934707972218
0.0514,7.655269811708197
0.05142,7.6546260985292
0.05144,7.654004805399996
0.05146,7.653399316244395
0.05148,7.652799373986663
0.0515,7.652211101380764
0.05152,7.65163268657739
0.05154,7.651057043676806
0.05156,7.6504829252496656
0.05158,7.649915869615929
0.0516,7.649349486687881
0.05162,7.648790586153451
0.05164,7.6482432225791
0.05166,7.647706485308236
0.05168,7.647176727946608
0.0517,7.646662416169844
0.05172,7.646158204835901
0.05174,7.645662757479359
0.05176,7.645177101059166
0.05178,7.644697647529193
0.0518,7.644238492883477
0.05182,7.643785329700986
0.05184,7.643338800700422
0.05186,7.642902151798036
0.05188,7.64246669203324
0.0519,7.642032615898185
0.05192,7.641591757420926
0.05194,7.641150684301552
0.05196,7.640709673488436
0.05198,7.640263680770153
0.052,7.639811253245476
0.05202,7.639346829090334
0.05204,7.638875726789319
0.05206,7.638397878411155
0.05208,7.637912814375397
0.0521,7.6374237183547
0.05212,7.636929175082467
0.05214,7.63642553000559
0.05216,7.635917113064634
0.05218,7.63540380621753
0.0522,7.634883752044298
0.05222,7.634359570774157
0.05224,7.633825496027807
0.05226,7.633288045801641
0.05228,7.632747231690562
0.0523,7.632197171312699
0.05232,7.6316382113333505
0.05234,7.631068035012787
0.05236,7.6304931415968635
0.05238,7.629914280988154
0.0524,7.629332335893718
0.05242,7.628746415258057
0.05244,7.628153548030363
0.05246,7.627563990973485
0.05248,7.626979925169793
0.0525,7.626399883570961
0.05252,7.625821085905847
0.05254,7.625245842683915
0.05256,7.624673415034334
0.05258,7.624102682191858
0.0526,7.62353874737986
0.05262,7.6229761181641305
0.05264,7.622415923792808
0.05266,7.621857115892078
0.05268,7.621296132497389
0.0527,7.6207253359989835
0.05272,7.620152267863603
0.05274,7.6195757419891414
0.05276,7.618988746623861
0.05278,7.618399877884569
0.0528,7.617805323386615
0.05282,7.617199194298126
0.05284,7.616580329646114
0.05286,7.6159567081078015
0.05288,7.6153228731780205
0.0529,7.614677259698385
0.05292,7.614022492125936
0.05294,7.613358852785527
0.05296,7.612688909698231
0.05298,7.612017319937736
0.053,7.6113407334186425
0.05302,7.610660157804189
0.05304,7.6099757804649775
0.05306,7.6092956849803075
0.05308,7.608614190965673
0.0531,7.607933259131387
0.05312,7.607249889403994
0.05314,7.6065638683847245
0.05316,7.6058775430838175
0.05318,7.605193267703564
0.0532,7.604509475946608
0.05322,7.603835840629747
0.05324,7.603166389272057
0.05326,7.60250393539805
0.05328,7.60184283585888
0.0533,7.6011879402259686
0.05332,7.600537548255617
0.05334,7.599889954956413
0.05336,7.5992483983423
0.05338,7.598612074604312
0.0534,7.59798098664461
0.05342,7.597353678887857
0.05344,7.59672660828845
0.05346,7.596105758535889
0.05348,7.595485406556521
0.0535,7.594870564906677
0.05352,7.594256941203952
0.05354,7.59364393168005
0.05356,7.593025558109914
0.05358,7.592409636520405
0.0536,7.5917934079865965
0.05362,7.591174313281941
0.05364,7.590551154360037
0.05366,7.589923588552167
0.05368,7.589292507505918
0.0537,7.588659050184608
0.05372,7.588028338265236
0.05374,7.587394830770347
0.05376,7.5867607129095065
0.05378,7.5861234227640795
0.0538,7.585485285393783
0.05382,7.584838689615292
0.05384,7.5841953531527295
0.05386,7.58355346048476
0.05388,7.5829113273628685
0.0539,7.582272260231475
0.05392,7.581633025394629
0.05394,7.580995880088223
0.05396,7.580358334286471
0.05398,7.579726808039138
0.054,7.5791002569362265
0.05402,7.578472116395998
0.05404,7.577844798532572
0.05406,7.577221768053333
0.05408,7.576596821242087
0.0541,7.575969421313844
0.05412,7.575341683094134
0.05414,7.57470662150312
0.05416,7.574067693017315
0.05418,7.573422773470525
0.0542,7.5727744271639335
0.05422,7.572121179764767
0.05424,7.571455336265546
0.05426,7.570780706174761
0.05428,7.570096812222772
0.0543,7.569402962111312
0.05432,7.568700068967898
0.05434,7.56799203796287
0.05436,7.567273183636811
0.05438,7.56654780118416
0.0544,7.565813245725458
0.05442,7.565076678456573
0.05444,7.5643369922190145
0.05446,7.563592517602083
0.05448,7.562838869574988
0.0545,7.562081877571532
0.05452,7.561329850156722
0.05454,7.560585842876941
0.05456,7.5598490763933714
0.05458,7.5591200068465705
0.0546,7.558393609923428
0.05462,7.557674927207775
0.05464,7.556957666660097
0.05466,7.55624639240411
0.05468,7.5555386878396025
0.0547,7.554837736124766
0.05472,7.554149251167142
0.05474,7.5534695497868025
0.05476,7.552798111914297
0.05478,7.552133731901591
0.0548,7.551478365669423
0.05482,7.550826216448341
0.05484,7.550182952562482
0.05486,7.549543320445601
0.05488,7.548901819554746
0.0549,7.548258144126632
0.05492,7.547618550766004
0.05494,7.546977771854918
0.05496,7.5463343753740855
0.05498,7.545682496471528
0.055,7.545026428384454
0.05502,7.544363343541708
0.05504,7.543696678172145
0.05506,7.543018928795904
0.05508,7.5423344870561975
0.0551,7.541641833326876
0.05512,7.540942539004521
0.05514,7.540240604524997
0.05516,7.539536810117721
0.05518,7.538835682206263
0.0552,7.538130796223584
0.05522,7.537425523486895
0.05524,7.536726177682481
0.05526,7.536034459124376
0.05528,7.535347773885824
0.0553,7.534666855214744
0.05532,7.533994221517582
0.05534,7.53332504046029
0.05536,7.532662358566342
0.05538,7.532005059473272
0.0554,7.53135489547447
0.05542,7.530448158092913
0.05544,7.52902865406468
0.05546,7.527203582487508
0.05548,7.524574753040634
0.0555,7.521591104677577
0.05552,7.518697154098075
0.05554,7.515760346174613
0.05556,7.513222917256757
0.05558,7.511050962159919
0.0556,7.508980581370615
0.05562,7.507061351726341
0.05564,7.505332298606475
0.05566,7.503993226893012
0.05568,7.502956545702826
0.0557,7.502369614367241
0.05572,7.501635993750586
0.05574,7.500441665917593
0.05576,7.499054438034597
0.05578,7.497316845860076
0.0558,7.495374461120685
0.05582,7.493428935465766
0.05584,7.491430202834227
0.05586,7.489472420227594
0.05588,7.48796861329097
0.0559,7.48642271662784
0.05592,7.484935579398181
0.05594,7.483668113139169
0.05596,7.482445495481571
0.05598,7.481486234422341
0.056,7.480658300245745
0.05602,7.479907199585469
0.05604,7.479269673437879
0.05606,7.4786577634749545
0.05608,7.478170717966628
0.0561,7.477823034477581
0.05612,7.477390863227709
0.05614,7.476983446108858
0.05616,7.476604843106966
0.05618,7.476124471489189
0.0562,7.475574370080808
0.05622,7.474955848009905
0.05624,7.474218159443936
0.05626,7.473370431970236
0.05628,7.472448703149936
0.0563,7.471408820706095
0.05632,7.470277906387743
0.05634,7.469088575999479
0.05636,7.467813508798836
0.05638,7.466473911175182
0.0564,7.465099139600556
0.05642,7.463685891380585
0.05644,7.462265962678048
0.05646,7.460867614974103
0.05648,7.4594946804999696
0.0565,7.45817297777263
0.05652,7.456927849162103
0.05654,7.455750337161436
0.05656,7.454650973620337
0.05658,7.453637627524573
0.0566,7.45269233487794
0.05662,7.451806727838354
0.05664,7.450984436673753
0.05666,7.450210446037287
0.05668,7.449472620120657
0.0567,7.4487640426812085
0.05672,7.4480753112624525
0.05674,7.44739362837237
0.05676,7.4467123972685805
0.05678,7.446024890233287
0.0568,7.445326220339404
0.05682,7.444619110183901
0.05684,7.443893593594667
0.05686,7.443150733782029
0.05688,7.442393915085598
0.0569,7.441630463865269
0.05692,7.440851508454683
0.05694,7.440059607466006
0.05696,7.439259754548812
0.05698,7.438457186553704
0.057,7.437646033159891
0.05702,7.436829123359594
0.05704,7.436008724027657
0.05706,7.435190797431258
0.05708,7.434380968157558
0.0571,7.433580476962774
0.05712,7.432792223988272
0.05714,7.432009381750818
0.05716,7.431227394981601
0.05718,7.4304350219558755
0.0572,7.429623004413611
0.05722,7.428786281082142
0.05724,7.427926809808109
0.05726,7.427047865725514
0.05728,7.426155814079219
0.0573,7.425265108834214
0.05732,7.424379143812788
0.05734,7.423509362181911
0.05736,7.422694792863516
0.05738,7.4218972911222965
0.0574,7.4211297444792885
0.05742,7.420393509579574
0.05744,7.41967097011971
0.05746,7.418974585537316
0.05748,7.418301058897221
0.0575,7.4176692484452635
0.05752,7.417063326280508
0.05754,7.416495048034971
0.05756,7.41596518907004
0.05758,7.415446280702172
0.0576,7.414949851449038
0.05762,7.414476321546592
0.05764,7.413987501805414
0.05766,7.4134932283273285
0.05768,7.412987300007051
0.0577,7.412456936514221
0.05772,7.411909363303209
0.05774,7.411344667410919
0.05776,7.41075903181104
0.05778,7.4101531014422
0.0578,7.409536989102443
0.05782,7.408906117465726
0.05784,7.408266692915916
0.05786,7.40739380791742
0.05788,7.4064921247682864
0.0579,7.40561790852691
0.05792,7.404733079780453
0.05794,7.40387147065446
0.05796,7.403084511500634
0.05798,7.402308008498829
0.058,7.401581747907845
0.05802,7.400898239153971
0.05804,7.400219092252409
0.05806,7.399544558062257
0.05808,7.398801703461823
0.0581,7.39807779933018
0.05812,7.3973645634187095
0.05814,7.396661642163594
0.05816,7.395996125768162
0.05818,7.395438637983246
0.0582,7.3949428730915265
0.05822,7.394493768291882
0.05824,7.394075866427137
0.05826,7.3936325318149665
0.05828,7.393110968465058
0.0583,7.392601740014098
0.05832,7.392072054309072
0.05834,7.391543186046508
0.05836,7.391021726329561
0.05838,7.390501411974431
0.0584,7.390001766036657
0.05842,7.389508974673149
0.05844,7.389018350950765
0.05846,7.388531009326543
0.05848,7.388039378555509
0.0585,7.387540042064433
0.05852,7.387039637085534
0.05854,7.386530328424417
0.05856,7.386011038462477
0.05858,7.385482683694629
0.0586,7.384935838094056
0.05862,7.384381476176472
0.05864,7.383819439498985
0.05866,7.383242709495685
0.05868,7.3826598517120905
0.0587,7.382073041144136
0.05872,7.3814703397832195
0.05874,7.380857405540063
0.05876,7.38023663650798
0.05878,7.379608074990329
0.0588,7.378981933927579
0.05882,7.378362820825131
0.05884,7.377750969774755
0.05886,7.377152965755167
0.05888,7.376566095412009
0.0589,7.375989250720753
0.05892,7.375415406702718
0.05894,7.374848294735228
0.05896,7.374284100098967
0.05898,7.3737238038509965
0.059,7.373171162171828
0.05902,7.372633338895494
0.05904,7.372103982985621
0.05906,7.371585265237248
0.05908,7.37107751501638
0.0591,7.370578084345669
0.05912,7.370083718380024
0.05914,7.36958929693755
0.05916,7.369089207710529
0.05918,7.3685861673043975
0.0592,7.3680808502814275
0.05922,7.367576169416131
0.05924,7.367075067481242
0.05926,7.3665715993864715
0.05928,7.366069640690761
0.0593,7.365566316255156
0.05932,7.3650618220430975
0.05934,7.364552740590914
0.05936,7.364037450276043
0.05938,7.36351206833087
0.0594,7.3629803516671295
0.05942,7.362444726102829
0.05944,7.361905258320056
0.05946,7.361366851915729
0.05948,7.3608265663002
0.0595,7.3602823615262265
0.05952,7.3597257939424905
0.05954,7.35916780564662
0.05956,7.358603652083214
0.05958,7.358040255424744
0.0596,7.357471511809923
0.05962,7.356897863450511
0.05964,7.356318100004255
0.05966,7.355734625011236
0.05968,7.3551512327850945
0.0597,7.354568142508347
0.05972,7.353981483833573
0.05974,7.353385082492769
0.05976,7.352777861835195
0.05978,7.3521594532888495
0.0598,7.351526099292966
0.05982,7.3508762402299705
0.05984,7.350208039200853
0.05986,7.3495157402776945
0.05988,7.348796098160061
0.0599,7.348042844929962
0.05992,7.34725271116645
0.05994,7.346417381027055
0.05996,7.345530565557376
0.05998,7.3445843785017
0.06,7.343569183804509
0.06002,8.377010407474794
0.06004,8.30269217427656
0.06006,8.231233600927512
0.06008,8.158413920927623
0.0601,8.086708026633705
0.06012,8.013886106261383
0.06014,7.945488545403612
0.06016,7.8783554698741085
0.06018,7.814250819000217
0.0602,7.752331455258898
0.06022,7.690578953666623
0.06024,7.632384167084333
0.06026,7.5768478768845515
0.06028,7.5221053921461865
0.0603,7.470974140705979
0.06032,7.423136349655121
0.06034,7.3777158527415105
0.06036,7.334391736828825
0.06038,7.29447897880088
0.0604,7.257221276097073
0.06042,7.221142141466164
0.06044,7.189100114777492
0.06046,7.159859473252258
0.06048,7.133296375139762
0.0605,7.108897641053628
0.06052,7.0878249432060345
0.06054,7.0690623980246805
0.06056,7.051827140288554
0.06058,7.037456606044391
0.0606,7.026812467739181
0.06062,7.017932528717792
0.06064,7.012213429826136
0.06066,7.0099902315558165
0.06068,7.009211874727454
0.0607,7.008624079258414
0.06072,7.010422436522565
0.06074,7.014496639502192
0.06076,7.020674167962619
0.06078,7.026471807947659
0.0608,7.033943167944767
0.06082,7.044769985048925
0.06084,7.053618438530912
0.06086,7.063085469861324
0.06088,7.0728675489851005
0.0609,7.084391844608945
0.06092,7.096858096798751
0.06094,7.108128743662953
0.06096,7.11985921621657
0.06098,7.133101747249835
0.061,7.145438102758117
0.06102,7.157559301765551
0.06104,7.170183954096689
0.06106,7.185121337899702
0.06108,7.2007560060254425
0.0611,7.215550241943891
0.06112,7.231140502776165
0.06114,7.246452394856334
0.06116,7.262100251776373
0.06118,7.276740424241423
0.0612,7.293082822737369
0.06122,7.307567123361585
0.06124,7.320484141087095
0.06126,7.333957848561849
0.06128,7.346335574474817
0.0613,7.356245620765918
0.06132,7.3671238106267385
0.06134,7.375360137498843
0.06136,7.383717409171171
0.06138,7.3882940125516745
0.0614,7.392213111007739
0.06142,7.396504015447425
0.06144,7.399737813642064
0.06146,7.400732270722355
0.06148,7.403075091610762
0.0615,7.404987789324102
0.06152,7.405449598449714
0.06154,7.4058912466305316
0.06156,7.4076988509428645
0.06158,7.407972011579528
0.0616,7.40930294035647
0.06162,7.411408982531986
0.06164,7.413473479058794
0.06166,7.414385834835074
0.06168,7.416741689654178
0.0617,7.418103397225902
0.06172,7.419377508487855
0.06174,7.420693096585188
0.06176,7.420949168934436
0.06178,7.424141519172282
0.0618,7.4247255160433445
0.06182,7.425164021961074
0.06184,7.4260310956771916
0.06186,7.425183452464437
0.06188,7.424464186698422
0.0619,7.42194966492166
0.06192,7.4205308545849356
0.06194,7.419547525381547
0.06196,7.417686120006235
0.06198,7.415231231778983
0.062,7.4118123438930335
0.06202,7.409806968096001
0.06204,7.407364062963052
0.06206,7.40488035057404
0.06208,7.403429506173922
0.0621,7.40136085108624
0.06212,7.3984165653265235
0.06214,7.396353258333958
0.06216,7.3941750010649825
0.06218,7.3917932729793625
0.0622,7.389795506841485
0.06222,7.386233328859195
0.06224,7.384182675785387
0.06226,7.382212597924776
0.06228,7.37891919776791
0.0623,7.376133436523341
0.06232,7.372853278916619
0.06234,7.37071075612645
0.06236,7.369311408989601
0.06238,7.367961789244532
0.0624,7.365924181987162
0.06242,7.36326882218728
0.06244,7.362803898787106
0.06246,7.362718803327516
0.06248,7.362299725209925
0.0625,7.361469974500674
0.06252,7.360803227433612
0.06254,7.359796470403777
0.06256,7.358361858675973
0.06258,7.358532983969607
0.0626,7.357276696578613
0.06262,7.356209581508656
0.06264,7.355248070497163
0.06266,7.353188317430684
0.06268,7.3495173012652755
0.0627,7.347782729877093
0.06272,7.345633569067956
0.06274,7.342360326319771
0.06276,7.341249167670316
0.06278,7.339232883736299
0.0628,7.33567927376855
0.06282,7.331748802255177
0.06284,7.3294988235356815
0.06286,7.326416369641453
0.06288,7.323093663898976
0.0629,7.320229999019527
0.06292,7.317420314577264
0.06294,7.314971133326045
0.06296,7.313745317498286
0.06298,7.3115303630449855
0.063,7.309263965729939
0.06302,7.306900322973389
0.06304,7.306630459555135
0.06306,7.3042918531330905
0.06308,7.30300595394997
0.0631,7.301145914511816
0.06312,7.298962184564344
0.06314,7.297307711509289
0.06316,7.296463863455131
0.06318,7.295240992839745
0.0632,7.296337330271851
0.06322,7.296147542195681
0.06324,7.296913576198656
0.06326,7.296448092663359
0.06328,7.297196821273202
0.0633,7.297617877897116
0.06332,7.297514700496332
0.06334,7.298224117810964
0.06336,7.298990232234467
0.06338,7.29959629815819
0.0634,7.299773610344817
0.06342,7.298813042380505
0.06344,7.299791465662741
0.06346,7.298852631899229
0.06348,7.299057735698862
0.0635,7.298444639567173
0.06352,7.297853127069806
0.06354,7.2955879723949995
0.06356,7.295681066256156
0.06358,7.294517723553655
0.0636,7.292486798972623
0.06362,7.290355161241406
0.06364,7.288496202874748
0.06366,7.286224536398618
0.06368,7.28439282053003
0.0637,7.283875985776983
0.06372,7.2819957020428365
0.06374,7.280920208692929
0.06376,7.2793388108666495
0.06378,7.277948213953457
0.0638,7.274901229615421
0.06382,7.275028744276389
0.06384,7.2745560220425025
0.06386,7.273673424412944
0.06388,7.273656380872839
0.0639,7.272540486882507
0.06392,7.272299683626792
0.06394,7.27129168391285
0.06396,7.272034998827539
0.06398,7.272715254562244
0.064,7.271366737642765
0.06402,7.2711891184999295
0.06404,7.271614150353962
0.06406,7.270348735675799
0.06408,7.268915869968738
0.0641,7.267714213139023
0.06412,7.264876726001874
0.06414,7.262803958642159
0.06416,7.259969034105112
0.06418,7.257787879313861
0.0642,7.255163242109179
0.06422,7.25028446235041
0.06424,7.2462736499885025
0.06426,7.242131826702999
0.06428,7.237754059242012
0.0643,7.2332097068427865
0.06432,7.2297867595458065
0.06434,7.225115354399549
0.06436,7.221689532235591
0.06438,7.217678859967624
0.0644,7.215685360865459
0.06442,7.21322277056756
0.06444,7.210213121773667
0.06446,7.206126402311125
0.06448,7.2043176344728455
0.0645,7.204138329744594
0.06452,7.205525848930219
0.06454,7.206361563292355
0.06456,7.207348096697566
0.06458,7.207134730495106
0.0646,7.208833731973534
0.06462,7.208511626550125
0.06464,7.209606053291499
0.06466,7.209839953256922
0.06468,7.211115716210468
0.0647,7.214407370084728
0.06472,7.216302885672191
0.06474,7.218169028578873
0.06476,7.220011625834273
0.06478,7.2225736561732
0.0648,7.223014593459952
0.06482,7.2253969132590266
0.06484,7.225903067193568
0.06486,7.2247629077008595
0.06488,7.2235513070838575
0.0649,7.223856028391625
0.06492,7.2223046515869225
0.06494,7.220173124919929
0.06496,7.216236762912688
0.06498,7.213273663673041
